_weight,_likelihood,$\Omega_m\ \mathrm{Blinded}$,$w\ \mathrm{Blinded}$
3.00000,12.13720,0.42446,-1.25958
2.00000,11.71662,0.40491,-1.09381
1.00000,11.62036,0.37239,-1.00735
2.00000,11.64295,0.37205,-1.00004
1.00000,12.65765,0.31889,-0.82228
1.00000,13.29048,0.30683,-0.78066
4.00000,12.87523,0.25538,-0.74999
1.00000,12.95412,0.26250,-0.74065
1.00000,12.50455,0.34000,-0.99576
6.00000,11.63357,0.36584,-0.99541
1.00000,12.29384,0.31715,-0.91091
1.00000,11.61059,0.38106,-1.03005
8.00000,12.03136,0.35808,-0.92711
3.00000,12.14706,0.44220,-1.27180
10.00000,11.75369,0.41732,-1.17917
1.00000,12.49673,0.44792,-1.23042
4.00000,12.09660,0.40985,-1.07167
1.00000,11.59453,0.37907,-1.03234
8.00000,11.67875,0.40901,-1.12566
4.00000,11.81894,0.35674,-0.94232
3.00000,13.89968,0.39345,-0.94004
3.00000,12.22667,0.40461,-1.04322
14.00000,12.55021,0.45223,-1.25734
2.00000,11.63905,0.37048,-1.02644
5.00000,11.61396,0.39934,-1.10640
1.00000,11.66720,0.39819,-1.07497
3.00000,11.83903,0.42470,-1.18474
2.00000,12.71508,0.46224,-1.34939
1.00000,13.05680,0.38467,-0.94403
1.00000,11.87069,0.41033,-1.09504
4.00000,11.61328,0.38069,-1.02826
6.00000,11.89723,0.42915,-1.20945
1.00000,12.12359,0.40599,-1.20062
2.00000,15.32393,0.50371,-1.44690
1.00000,15.09193,0.49814,-1.40408
1.00000,11.87116,0.41586,-1.20420
4.00000,11.91154,0.42918,-1.19825
3.00000,13.54512,0.40578,-1.27775
6.00000,11.65763,0.37817,-1.05882
2.00000,12.16063,0.35022,-1.01037
17.00000,12.21557,0.43551,-1.18293
2.00000,12.10188,0.43131,-1.17237
2.00000,12.24429,0.41076,-1.06434
3.00000,12.41261,0.36447,-0.92018
1.00000,12.67653,0.27145,-0.76991
2.00000,14.74258,0.22758,-0.64695
5.00000,14.60049,0.17860,-0.67561
8.00000,15.19696,0.12476,-0.55856
2.00000,15.44734,0.10614,-0.58393
2.00000,16.45278,0.10441,-0.51886
5.00000,15.13641,0.13269,-0.56442
2.00000,15.81964,0.20165,-0.60233
3.00000,12.50404,0.45055,-1.35346
7.00000,12.97980,0.46517,-1.31091
1.00000,14.10872,0.40645,-0.97081
2.00000,13.65430,0.37541,-0.90128
8.00000,11.77964,0.34424,-0.93302
2.00000,11.74842,0.39343,-1.12285
3.00000,12.63147,0.38269,-1.14854
3.00000,12.46172,0.35866,-1.05564
1.00000,12.19533,0.37214,-1.08741
1.00000,11.82865,0.33924,-0.93643
1.00000,12.40466,0.29786,-0.85696
9.00000,11.89972,0.41806,-1.12717
2.00000,11.82686,0.41775,-1.13738
3.00000,11.62849,0.36699,-0.99872
1.00000,11.65359,0.36164,-0.98894
4.00000,11.75364,0.38880,-1.10846
3.00000,11.73202,0.36990,-1.04104
5.00000,11.91399,0.40145,-1.16708
2.00000,11.91479,0.42693,-1.17719
6.00000,11.96968,0.37758,-0.97786
21.00000,11.81886,0.37763,-0.99036
1.00000,11.93466,0.36264,-0.94410
4.00000,14.45608,0.38702,-0.90790
2.00000,15.00587,0.39014,-0.90226
2.00000,14.86467,0.37229,-0.86315
2.00000,13.96714,0.28078,-0.87607
10.00000,11.83599,0.42428,-1.20522
4.00000,12.30699,0.44818,-1.27320
1.00000,13.06995,0.47152,-1.39941
1.00000,13.28169,0.47543,-1.38510
3.00000,11.95760,0.38805,-1.12600
2.00000,12.56391,0.40929,-1.03995
5.00000,12.85582,0.41772,-1.05545
4.00000,13.08499,0.41837,-1.04710
1.00000,11.59503,0.39365,-1.08345
1.00000,11.79187,0.37311,-1.05939
8.00000,11.88944,0.33144,-0.90541
1.00000,13.70079,0.42854,-1.05909
1.00000,13.81534,0.45762,-1.18611
3.00000,11.64239,0.37120,-1.03018
8.00000,11.66614,0.37264,-1.04068
2.00000,13.01767,0.26815,-0.81050
2.00000,12.41068,0.34578,-0.88060
3.00000,13.17968,0.26808,-0.73430
1.00000,12.76975,0.27721,-0.76423
13.00000,11.88434,0.38175,-1.09810
1.00000,11.86851,0.37452,-1.07180
3.00000,12.45119,0.39728,-1.00617
1.00000,12.56190,0.33838,-0.99331
1.00000,11.62259,0.39597,-1.10665
1.00000,12.81803,0.45889,-1.40376
2.00000,12.69737,0.45263,-1.38345
1.00000,13.44264,0.47946,-1.45549
3.00000,13.48302,0.47717,-1.36387
3.00000,17.65965,0.51983,-1.43222
1.00000,17.28399,0.48805,-1.20612
1.00000,12.89793,0.32648,-0.82527
1.00000,12.52821,0.36271,-1.07279
3.00000,12.52162,0.28283,-0.81638
4.00000,14.26989,0.16855,-0.61807
1.00000,13.12838,0.28811,-0.75986
2.00000,12.46943,0.28762,-0.79720
1.00000,12.45317,0.28574,-0.81675
5.00000,11.75098,0.39196,-1.11844
2.00000,12.35157,0.29293,-0.81624
2.00000,12.32999,0.29472,-0.81921
1.00000,13.02240,0.25717,-0.78084
2.00000,13.02273,0.24530,-0.73796
4.00000,12.76506,0.26507,-0.75920
9.00000,11.75184,0.38037,-1.07994
7.00000,13.28625,0.22961,-0.72041
4.00000,13.19726,0.25484,-0.72073
1.00000,16.17581,0.23675,-0.63163
1.00000,12.98763,0.26045,-0.78770
1.00000,13.88586,0.20160,-0.65054
2.00000,14.22874,0.32329,-1.00227
1.00000,12.60632,0.40632,-1.23415
