VARNAMES:,ROW,zMIN,zMAX,z,MUDIF,MUDIFERR,MUREF,NFIT,name,sim_num,muopt,muopt_num,fitopt,fitopt_num,ol_ref,w_ref
ROW:,1,0.01000,0.03050,0.02110,0.08070,0.02070,34.81710,69,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,2,0.03050,0.05240,0.03830,0.04150,0.02020,36.13950,45,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,3,0.05240,0.07570,0.06040,0.07190,0.03700,37.16130,10,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,4,0.07570,0.10060,0.09390,0.18630,0.10870,38.17190,1,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,5,0.10060,0.12730,0.10980,-0.11250,0.08310,38.53380,4,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,6,0.12730,0.15610,0.14510,0.04370,0.03350,39.18990,14,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,7,0.15610,0.18720,0.17210,-0.00950,0.02960,39.59660,19,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,8,0.18720,0.22090,0.20660,0.03990,0.02320,40.03790,34,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,9,0.22090,0.25770,0.23610,0.01800,0.01810,40.36460,52,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,10,0.25770,0.29810,0.27770,0.02640,0.01590,40.76510,79,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,11,0.29810,0.34260,0.32330,0.03680,0.01260,41.14540,127,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,12,0.34260,0.39200,0.36440,0.02260,0.01220,41.44810,139,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,13,0.39200,0.44730,0.42150,0.02850,0.01260,41.81950,151,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,14,0.44730,0.50980,0.47510,0.01030,0.01180,42.12750,194,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,15,0.50980,0.58110,0.54450,-0.02090,0.01120,42.48110,259,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,16,0.58110,0.66360,0.62200,-0.00980,0.01150,42.82930,318,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,17,0.66360,0.76050,0.70400,-0.03170,0.01310,43.15500,250,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,18,0.76050,0.87650,0.81110,-0.03560,0.01650,43.52920,218,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,19,0.87650,1.01910,0.94000,-0.01630,0.02930,43.92020,68,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,20,1.01910,1.20000,1.05690,-0.05780,0.04050,44.23140,26,ALLFIELD,1,DEFAULT,0,DEFAULT,0,,
ROW:,1,0.01000,0.03050,0.02100,0.09850,0.02140,34.80780,67,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,2,0.03050,0.05240,0.03820,0.05020,0.02090,36.13160,43,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,3,0.05240,0.07570,0.06030,0.08930,0.03820,37.15760,10,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,4,0.07570,0.10060,0.08470,0.28340,0.07540,37.93340,2,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,5,0.10060,0.12730,0.10880,-0.17160,0.07040,38.51410,5,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,6,0.12730,0.15610,0.14510,0.05880,0.03440,39.19010,14,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,7,0.15610,0.18720,0.17140,-0.00360,0.03190,39.58750,18,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,8,0.18720,0.22090,0.20660,0.05360,0.02370,40.03840,34,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,9,0.22090,0.25770,0.23630,0.03530,0.01870,40.36660,52,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,10,0.25770,0.29810,0.27780,0.03950,0.01620,40.76620,79,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,11,0.29810,0.34260,0.32360,0.04520,0.01270,41.14750,133,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,12,0.34260,0.39200,0.36450,0.03230,0.01240,41.44830,142,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,13,0.39200,0.44730,0.42150,0.03340,0.01270,41.81900,154,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,14,0.44730,0.50980,0.47550,0.01400,0.01190,42.12950,198,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,15,0.50980,0.58110,0.54470,-0.02250,0.01130,42.48240,259,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,16,0.58110,0.66360,0.62220,-0.02190,0.01140,42.82990,317,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
ROW:,17,0.66360,0.76050,0.70410,-0.03930,0.01320,43.15530,253,ALLFIELD,1,DEFAULT,0,SALT20_cal,1,,
