CID,FIELD
1257256,C3
1246869,X3
1249939,E1
1250017,S1
1251116,C2
1252129,C2
1252595,C3
1252620,X3
1252713,S1
1253131,E2
1253367,S2
1254921,E1
1255051,E1
1255192,E1+E2
1255310,S1
1255502,X1
1258068,S2
1260210,X3
1260493,X3
1260977,E2
1262181,C2
1262588,X2
1263261,E2
1263785,C2+C3
1263882,C1
1263916,C1
1265832,E2
1266064,S2
1273415,S2
1282626,E1
1284447,C1
1290736,E1
1291155,X2
1291484,E2
1291912,E1
1294743,X3
1297026,X3
1297049,C1
1298389,S2
1299258,X3
1299458,E2
1300424,E1
1301787,X2
1303215,C1
1303570,X3
1303776,E1
1304741,E1
1305350,X2
1305384,X2
1305387,X2
1305756,C1
1309195,C3
1310435,X2
1311247,E2
1311642,X2
1312305,E2
1312821,C1
1317956,X3
1318142,E2
1318417,S2
1318429,S2
1319614,C1
1320116,E1+E2
1320251,E2
1320289,S2
1320367,S2
1322912,E1
1275946,E2
1276513,S2
1277766,C3
1280780,C3
1281008,C2
1281119,C2
1281383,E1
1282808,X2
1283923,E1+E2
1303952,X2
1307780,C3
1307843,C3
1309013,X2
1319366,S2
1331521,S2
1331887,X3
1332037,S2
1332747,C3
1334311,E1
1334620,X2
1334705,X2
1335323,S2
1336019,E1
1336320,E2
1337649,S1
1339609,C2+C3
1340354,X3
1341471,X2
1342110,X3
1344303,S2
1345590,X1
1345899,C3
1348624,X1
1366406,E1
1370441,C3
1371040,E1
1380115,E2
1394075,X1
1395159,X3
1430077,E1
1430116,C3
1432017,C1
1433036,C2
1433226,X1
1444039,E2
1446080,C3
1447133,C3
1447146,C3
1484100,S1
1510035,S2
1528024,S1
1530170,X3
1532055,E2
1537077,C3
1550021,E1
1551020,E1
1567071,S1
1639098,C3
1641065,S1
1641279,E1
1642125,X2
1643292,E1
1644213,E1
1647083,X1+X3
1675092,C3
1770844,C3
1777115,X1
1838105,C1
1842087,C3
1847050,X2
1847215,X2
1850051,E1
1856017,S2
1879187,S1
1879649,C1
1880632,X3
1900056,E2
1900801,C3
1901820,X3
1901901,C3
1919017,E1
1921361,C2
1922539,S1
1929063,E1
1929203,X1
1934169,C2
1935314,X3
1936043,E1+E2
1936386,S2
